Title,Song Link,Artist,Artist Link
残響散歌,/song/312114/,Aimer,/artist/11629/
新時代,/song/319758/,Ado,/artist/29298/
Habit,/song/318034/,SEKAI NO OWARI,/artist/9699/
ミックスナッツ,/song/317311/,Official髭男dism,/artist/18093/
Tot Musica,/song/322907/,Ado,/artist/29298/
ベテルギウス,/song/310126/,優里,/artist/28773/
ドライフラワー,/song/292676/,優里,/artist/28773/
Subtitle,/song/326156/,Official髭男dism,/artist/18093/
KICK BACK,/song/326423/,米津玄師,/artist/12795/
初心LOVE,/song/310518/,なにわ男子,/artist/31352/
ウタカタララバイ,/song/322805/,Ado,/artist/29298/
夜に駆ける,/song/284748/,YOASOBI,/artist/28370/
シンデレラボーイ,/song/306236/,Saucy Dog,/artist/24076/
水平線,/song/306206/,back number,/artist/8613/
逆夢,/song/312609/,King Gnu,/artist/23343/
Cry Baby,/song/301712/,Official髭男dism,/artist/18093/
WXY,/song/302461/,Tani Yuuki,/artist/28745/
群青,/song/290004/,YOASOBI,/artist/28370/
私は最強,/song/320568/,Ado,/artist/29298/
うっせぇわ,/song/292534/,Ado,/artist/29298/
なんでもないよ、,/song/309953/,マカロニえんぴつ,/artist/21729/
廻廻奇譚,/song/291859/,Eve,/artist/20987/
Pretender,/song/266648/,Official髭男dism,/artist/18093/
逆光,/song/321128/,Ado,/artist/29298/
レオ,/song/312810/,優里,/artist/28773/
阿修羅ちゃん,/song/309074/,Ado,/artist/29298/
魔法の絨毯,/song/292378/,川崎鷹也,/artist/29268/
チェリー,/song/9073/,スピッツ,/artist/1475/
ブラザービート,/song/316571/,Snow Man,/artist/27915/
うれしいひなまつり,/song/13930/,童謡・唱歌,/artist/4002/
