Title,Song Link,Artist,Artist Link
ウィーアー,http://www.uta-net.com/song/21323/,ワンピース,
GO,http://www.uta-net.com/song/19052/,NARUTO -ナルト-,
葛飾ラプソディー ,http://www.uta-net.com/song/39727/,こちら葛飾区亀有公園前派出所,
future,http://www.uta-net.com/song/15029/,テニスの王子様,
めざせポケモンマスター,http://www.uta-net.com/song/28723/,ポケットモンスター,
DtecnoLife,http://www.uta-net.com/song/26954/,BLEACH,
ケロッとマーチ ,http://www.uta-net.com/song/70360/,ケロロ軍曹,
恋はスリル、ショック、サスペンス ,http://www.uta-net.com/song/533/,名探偵コナン,
ハレ晴レユカイ ,http://www.uta-net.com/song/43719/,涼宮ハルヒの憂鬱,
DANZENふたりはプリキュア,http://www.uta-net.com/song/42486/,ふたりはプリキュア,
カサブタ ,http://www.uta-net.com/song/17283/,金色のガッシュベル!!,
CagayakeGIRLS ,http://www.uta-net.com/song/79050/,けいおん!,
メリッサ,http://www.uta-net.com/song/17904/,鋼の錬金術師,
Dearest,http://www.uta-net.com/song/12644/,犬夜叉,
Dragon Soul ,http://www.uta-net.com/song/79991/,ドラゴンボール改,
さらば ,http://www.uta-net.com/song/15725/,あたしンち,
ハム太郎とっとこうた,http://www.uta-net.com/song/15586/,とっとこハム太郎,
Get Over ,http://www.uta-net.com/song/14814/,ヒカルの碁,
心絵 ,http://www.uta-net.com/song/20911/,メジャー,
あんなに一緒だったのに,http://www.uta-net.com/song/16421/,機動戦士ガンダムSEED,
