Title,Song Link,Artist,Artist Link
アイドル,/song/335761/,YOASOBI,/artist/28370/
DEAR MY LOVER,/song/338226/,Hey Say JUMP,/artist/7338/
こっから,/song/338834/,SixTONES,/artist/27886/
美しい鰭,/song/335801/,スピッツ,/artist/1475/
Magic,/song/338947/,Mrs GREEN APPLE,/artist/18526/
絆ノ奇跡,/song/336420/,MAN WITH A MISSION  milet,/artist/34485/
心得,/song/336410/,Uru,/artist/20238/
愛の花,/song/335355/,あいみょん,/artist/17598/
メフィスト,/song/336133/,女王蜂,/artist/11992/
TATTOO,/song/336596/,Official髭男dism,/artist/18093/
ケセラセラ,/song/336333/,Mrs GREEN APPLE,/artist/18526/
NIGHT DANCER,/song/323397/,imase,/artist/31445/
可愛くてごめん feat ちゅーたん早見沙織,/song/328567/,HoneyWorks,/artist/18370/
月を見ていた,/song/339448/,米津玄師,/artist/12795/
Idol,/song/337914/,YOASOBI,/artist/28370/
たなばたさま,/song/13979/,童謡・唱歌,/artist/4002/
シンデレラガール,/song/249477/,King  Prince,/artist/24640/
花,/song/5953/,童謡・唱歌,/artist/4002/
ちゅ、多様性。,/song/328492/,ano,/artist/29093/
Nine Snow Flash,/song/337452/,Snow Man,/artist/27915/
Subtitle,/song/326156/,Official髭男dism,/artist/18093/
怪獣の花唄,/song/285326/,Vaundy,/artist/27857/
ビリミリオン,/song/335119/,優里,/artist/28773/
Stray Hearts,/song/337954/,稲葉浩志,/artist/1887/
たりないふたり,/song/236953/,Creepy Nuts,/artist/21684/
夜に駆ける,/song/284748/,YOASOBI,/artist/28370/
366日,/song/64011/,HY,/artist/414/
夏の思い出,/song/5949/,童謡・唱歌,/artist/4002/
Two,/song/337455/,渡辺翔太  目黒蓮Snow Man,/artist/34609/
青と夏,/song/252099/,Mrs GREEN APPLE,/artist/18526/
あめふりくまのこ,/song/28769/,おかあさんといっしょ,/artist/4468/
第ゼロ感,/song/327692/,10FEET,/artist/8/
なにもの,/song/339435/,King  Prince,/artist/24640/
マリーゴールド,/song/251631/,あいみょん,/artist/17598/
ファジーネーブル,/song/336785/,Conton Candy,/artist/32789/
かたつむり,/song/13988/,童謡・唱歌,/artist/4002/
あめふり,/song/13990/,童謡・唱歌,/artist/4002/
KICK BACK,/song/326423/,米津玄師,/artist/12795/
WXY,/song/302461/,Tani Yuuki,/artist/28745/
ブルーアンビエンス feat asmi,/song/320197/,Mrs GREEN APPLE,/artist/18526/
祝福,/song/325674/,YOASOBI,/artist/28370/
残響散歌,/song/312114/,Aimer,/artist/11629/
群青,/song/290004/,YOASOBI,/artist/28370/
ドライフラワー,/song/292676/,優里,/artist/28773/
Lemon,/song/244127/,米津玄師,/artist/12795/
Hare Hare,/song/337275/,TWICE,/artist/21906/
大きな古時計,/song/13971/,童謡・唱歌,/artist/4002/
キセキ,/song/65511/,GReeeeN,/artist/5384/
ドキメキダイアリー,/song/336071/,asmi feat Chinozo,/artist/34421/
Pretender,/song/266648/,Official髭男dism,/artist/18093/
