Title,Song Link,Artist,Artist Link
アイドル,/song/335761/,YOASOBI,/artist/28370/
怪獣の花唄,/song/285326/,Vaundy,/artist/27857/
ドライフラワー,/song/292676/,優里,/artist/28773/
マリーゴールド,/song/251631/,あいみょん,/artist/17598/
残酷な天使のテーゼ,/song/9307/,高橋洋子,/artist/2314/
シンデレラボーイ,/song/306236/,Saucy Dog,/artist/24076/
サウダージ,/song/12513/,ポルノグラフィティ,/artist/1686/
水平線,/song/306206/,back number,/artist/8613/
オトナブルー,/song/338838/,新しい学校のリーダーズ,/artist/20609/
さよならエレジー,/song/244355/,菅田将暉,/artist/22091/
青と夏,/song/252099/,Mrs GREEN APPLE,/artist/18526/
チェリー,/song/9073/,スピッツ,/artist/1475/
小さな恋のうた,/song/48901/,MONGOL800,/artist/6718/
可愛くてごめん feat ちゅーたん早見沙織,/song/328567/,HoneyWorks,/artist/18370/
高嶺の花子さん,/song/147577/,back number,/artist/8613/
丸の内サディスティック,/song/12950/,椎名林檎,/artist/3361/
私は最強,/song/320568/,Ado,/artist/29298/
世界が終るまでは…,/song/7634/,WANDS,/artist/1111/
猫,/song/234121/,DISH,/artist/14957/
糸,/song/10225/,中島みゆき,/artist/3315/
美しい鰭,/song/335801/,スピッツ,/artist/1475/
新時代,/song/319758/,Ado,/artist/29298/
ビリミリオン,/song/335119/,優里,/artist/28773/
ハナミズキ,/song/18574/,一青窈,/artist/1883/
残響散歌,/song/312114/,Aimer,/artist/11629/
奏かなで,/song/18718/,スキマスイッチ,/artist/1465/
カブトムシ,/song/12170/,aiko,/artist/39/
最後の雨,/song/2013/,中西保志,/artist/3297/
Subtitle,/song/326156/,Official髭男dism,/artist/18093/
シングルベッド,/song/8097/,シャ乱Q,/artist/1438/
Lemon,/song/244127/,米津玄師,/artist/12795/
ミックスナッツ,/song/317311/,Official髭男dism,/artist/18093/
シャルル,/song/247551/,バルーン,/artist/24426/
ひまわりの約束,/song/167749/,秦基博,/artist/6829/
CITRUS,/song/292678/,DaiCE,/artist/15970/
夜に駆ける,/song/284748/,YOASOBI,/artist/28370/
点描の唄feat井上苑子,/song/253265/,Mrs GREEN APPLE,/artist/18526/
ベテルギウス,/song/310126/,優里,/artist/28773/
虹,/song/293474/,菅田将暉,/artist/22091/
Pretender,/song/266648/,Official髭男dism,/artist/18093/
魔法の絨毯,/song/292378/,川崎鷹也,/artist/29268/
花束のかわりにメロディーを,/song/196361/,清水翔太,/artist/7430/
WXY,/song/302461/,Tani Yuuki,/artist/28745/
キセキ,/song/65511/,GReeeeN,/artist/5384/
First Love,/song/11567/,宇多田ヒカル,/artist/1892/
うっせぇわ,/song/292534/,Ado,/artist/29298/
KICK BACK,/song/326423/,米津玄師,/artist/12795/
アイノカタチ featHIDEGReeeeN,/song/253191/,MISIA,/artist/664/
I LOVE YOU,/song/146/,尾崎豊,/artist/3626/
