Title,Song Link,Artist,Artist Link
Lemon,/song/244127/,米津玄師,/artist/12795/
クリスマスソング,/song/195484/,back number,/artist/8613/
キセキ,/song/65511/,GReeeeN,/artist/5384/
花束,/song/113824/,back number,/artist/8613/
前前前世 movie ver,/song/211495/,RADWIMPS,/artist/4082/
Pretender,/song/266648/,Official髭男dism,/artist/18093/
LOSER,/song/215594/,米津玄師,/artist/12795/
紅蓮華,/song/270036/,LiSA,/artist/11591/
ハッピーエンド,/song/216847/,back number,/artist/8613/
RPG,/song/145480/,SEKAI NO OWARI,/artist/9699/
奏かなで,/song/18718/,スキマスイッチ,/artist/1465/
白日,/song/263550/,King Gnu,/artist/23343/
トリセツ,/song/193479/,西野カナ,/artist/7429/
366日,/song/64011/,HY,/artist/414/
小さな恋のうた,/song/48901/,MONGOL800,/artist/6718/
高嶺の花子さん,/song/147577/,back number,/artist/8613/
猫,/song/234121/,DISH,/artist/14957/
I LOVE,/song/280202/,Official髭男dism,/artist/18093/
マリーゴールド,/song/251631/,あいみょん,/artist/17598/
夜に駆ける,/song/284748/,YOASOBI,/artist/28370/
瞬き,/song/239017/,back number,/artist/8613/
なんでもないや movie edit  movie ver,/song/213756/,RADWIMPS,/artist/4082/
パプリカ,/song/254123/,Foorin,/artist/25074/
アイドル,/song/335761/,YOASOBI,/artist/28370/
香水,/song/287216/,瑛人,/artist/28712/
ドライフラワー,/song/292676/,優里,/artist/28773/
スパークル movie ver,/song/213757/,RADWIMPS,/artist/4082/
まちがいさがし,/song/267262/,菅田将暉,/artist/22091/
HAPPY BIRTHDAY,/song/261730/,back number,/artist/8613/
Happiness,/song/171838/,シェネル,/artist/12024/
炎,/song/292195/,LiSA,/artist/11591/
ワタリドリ,/song/180656/,Alexandros,/artist/12786/
君に届け,/song/102025/,flumpool,/artist/8060/
うっせぇわ,/song/292534/,Ado,/artist/29298/
HANABI,/song/70478/,MrChildren,/artist/684/
わたがし,/song/131500/,back number,/artist/8613/
馬と鹿,/song/273829/,米津玄師,/artist/12795/
花火,/song/133449/,三代目 J SOUL BROTHERS from EXILE TRIBE,/artist/10539/
灰色と青   菅田将暉,/song/237845/,米津玄師,/artist/12795/
感電,/song/287617/,米津玄師,/artist/12795/
ヒロイン,/song/177145/,back number,/artist/8613/
ともに,/song/212098/,WANIMA,/artist/17326/
ヒカリヘ,/song/133324/,miwa,/artist/9365/
恋,/song/126314/,back number,/artist/8613/
家族になろうよ,/song/112355/,福山雅治,/artist/3691/
Wherever you are,/song/96193/,ONE OK ROCK,/artist/7063/
3月9日,/song/18874/,レミオロメン,/artist/1779/
糸,/song/10225/,中島みゆき,/artist/3315/
Subtitle,/song/326156/,Official髭男dism,/artist/18093/
好きな人がいること,/song/210881/,JY,/artist/19700/
